Season,Episode
Season 1,Pilot
Season 1,Lawnmower Dog
Season 1,Anatomy Park
Season 1,M. Night Shaym-Aliens!
Season 1,Meeseeks and Destroy
Season 1,Rick Potion #9
Season 1,Raising Gazorpazorp
Season 1,Rixty Minutes
Season 1,Something Ricked This Way Comes
Season 1,Close Rick-Counters of the Rick Kind
Season 1,Ricksy Business
